temps;Consigne tangage PC;Effort milli N;;temps;Consigne tangage PC;Effort milli N
4,832;51;432;;8,856;30;500
4,843;51;432;;8,866;30;510
4,854;51;432;;8,877;30;510
4,862;51;441;;8,888;30;500
4,873;51;432;;8,896;30;510
4,881;51;441;;8,909;30;510
4,892;51;441;;8,915;30;500
4,903;51;441;;8,926;30;510
4,911;51;441;;8,937;30;500
4,924;51;451;;8,947;30;500
4,937;51;451;;8,958;30;500
4,941;51;441;;8,969;30;500
4,952;51;451;;8,977;30;510
4,962;51;441;;8,988;30;500
4,971;51;432;;8,997;30;500
4,982;51;441;;9,007;30;500
4,992;51;441;;9,018;30;490
5,001;51;432;;9,029;30;500
5,011;51;441;;9,037;30;500
5,022;51;441;;9,048;30;500
5,041;51;441;;9,056;30;510
5,052;51;451;;9,067;30;510
5,063;51;451;;9,075;30;500
5,073;51;441;;9,086;30;500
5,082;51;441;;9,097;30;510
5,095;51;441;;9,107;30;510
5,103;51;441;;9,116;30;500
5,112;51;441;;9,127;30;500
5,122;51;441;;9,135;30;510
5,131;51;441;;9,148;30;510
5,142;51;441;;9,157;30;500
5,152;51;441;;9,167;30;490
5,161;51;441;;9,176;30;510
5,174;51;441;;9,186;30;500
5,182;51;441;;9,195;30;490
5,191;51;451;;9,208;30;481
5,201;51;441;;9,216;30;500
5,212;51;451;;9,227;30;500
5,223;40;432;;9,238;30;500
5,231;40;441;;9,248;30;490
5,242;40;441;;9,265;30;490
5,261;40;441;;9,276;30;481
5,272;40;432;;9,287;30;481
5,282;40;441;;9,297;30;490
5,291;40;441;;9,306;30;490
5,302;40;441;;9,317;30;490
5,312;40;441;;9,327;30;490
5,323;40;441;;9,338;30;500
5,331;40;451;;9,349;30;510
5,342;40;441;;9,357;30;510
5,353;40;441;;9,374;30;490
5,361;40;451;;9,385;30;490
5,372;40;451;;9,398;30;500
5,383;40;441;;9,406;30;490
5,4;40;451;;9,417;30;500
5,412;40;441;;9,425;30;500
5,421;40;432;;9,436;30;500
5,432;40;441;;9,445;30;490
5,44;40;451;;9,455;30;490
5,453;40;451;;9,466;30;500
5,462;40;451;;9,485;30;490
5,47;40;461;;9,496;30;500
5,481;40;461;;9,506;30;500
5,491;40;461;;9,515;30;500
5,511;40;461;;9,526;30;500
5,521;40;461;;9,536;30;500
5,532;40;461;;9,545;30;490
5,54;40;471;;9,556;20;500
5,551;40;471;;9,566;20;490
5,562;40;471;;9,577;20;500
5,57;40;471;;9,594;20;490
5,581;40;471;;9,607;20;500
5,592;40;471;;9,617;20;490
5,6;40;471;;9,626;20;481
5,611;40;471;;9,637;20;481
5,622;40;481;;9,647;20;471
5,632;40;481;;9,656;20;490
5,641;40;471;;9,666;20;500
5,651;40;471;;9,677;20;490
5,66;40;471;;9,686;20;481
5,671;40;481;;9,705;20;500
5,681;40;471;;9,715;20;500
5,69;40;471;;9,726;20;490
5,7;40;471;;9,735;20;490
5,711;40;471;;9,745;20;490
5,73;40;481;;9,758;20;481
5,741;40;481;;9,769;20;490
5,752;40;481;;9,777;20;490
5,76;40;481;;9,786;20;490
5,771;40;481;;9,797;20;500
5,782;40;481;;9,805;20;500
5,79;40;481;;9,816;20;490
5,801;40;490;;9,826;20;500
5,811;40;481;;9,843;20;520
5,82;40;481;;9,854;20;510
5,831;40;471;;9,865;20;510
5,841;40;481;;9,875;20;510
5,85;40;481;;9,886;20;500
5,86;40;471;;9,895;20;481
5,871;40;471;;9,905;20;490
5,88;40;471;;9,914;20;510
5,89;40;471;;9,927;20;510
5,901;40;471;;9,935;20;510
5,91;40;481;;9,946;20;510
5,92;40;471;;9,957;20;500
5,931;40;461;;9,965;20;510
5,939;40;471;;9,976;20;520
5,95;40;471;;9,984;20;520
5,961;40;471;;9,995;20;530
5,971;40;461;;10,008;20;540
5,98;40;471;;10,014;20;530
5,991;40;481;;10,025;20;530
6,001;40;471;;10,036;20;520
6,01;40;461;;10,046;20;520
6,02;40;471;;10,063;20;510
6,031;40;481;;10,076;20;510
6,04;40;471;;10,087;20;520
6,05;40;471;;10,095;20;530
6,061;40;481;;10,104;20;520
6,07;40;481;;10,117;20;520
6,08;40;471;;10,127;20;530
6,091;40;471;;10,136;20;540
6,099;40;490;;10,144;20;540
6,11;40;490;;10,157;20;540
6,121;40;481;;10,166;20;540
6,129;40;481;;10,174;20;540
6,14;40;481;;10,187;20;530
6,151;40;490;;10,196;20;510
6,159;40;481;;10,206;20;510
6,17;40;481;;10,217;20;520
6,18;40;481;;10,225;20;530
6,2;40;481;;10,234;20;520
6,21;40;471;;10,247;20;530
6,23;40;471;;10,257;20;530
6,24;40;471;;10,266;20;540
6,251;40;481;;10,274;20;530
6,259;40;481;;10,285;20;530
6,27;40;471;;10,296;20;549
6,281;40;481;;10,306;20;549
6,289;40;481;;10,315;20;549
6,3;40;481;;10,324;20;559
6,311;40;481;;10,336;20;549
6,319;40;471;;10,345;20;540
6,33;40;471;;10,353;20;530
6,34;40;471;;10,366;20;520
6,349;40;471;;10,375;20;520
6,36;40;471;;10,385;20;530
6,37;40;461;;10,396;20;530
6,379;40;461;;10,405;20;530
6,39;40;471;;10,415;20;540
6,4;40;471;;10,426;20;540
6,409;40;461;;10,437;20;540
6,419;40;461;;10,454;20;540
6,43;40;471;;10,466;20;549
6,449;40;471;;10,475;20;549
6,46;40;471;;10,484;20;540
6,471;40;471;;10,494;20;540
6,479;40;461;;10,507;20;530
6,49;40;471;;10,516;20;520
6,5;40;471;;10,526;20;520
6,509;40;471;;10,535;20;520
6,52;40;461;;10,543;20;520
6,53;40;461;;10,554;20;530
6,539;40;471;;10,567;20;540
6,55;40;471;;10,573;20;530
6,56;40;461;;10,584;20;540
6,569;40;471;;10,597;20;549
6,579;40;471;;10,603;20;549
6,59;40;461;;10,614;20;549
6,599;40;461;;10,624;20;559
6,609;40;461;;10,644;20;569
6,62;40;461;;10,654;20;549
6,628;40;461;;10,665;20;549
6,641;40;461;;10,673;20;549
6,65;40;461;;10,684;20;540
6,669;40;461;;10,695;20;549
6,68;40;461;;10,703;20;540
6,69;40;471;;10,714;20;540
6,699;40;471;;10,727;20;540
6,71;40;461;;10,735;20;540
6,72;40;461;;10,744;20;530
6,729;40;471;;10,754;20;540
6,739;40;471;;10,765;20;549
6,75;40;461;;10,782;20;559
6,759;40;471;;10,793;20;549
6,769;40;471;;10,806;20;549
6,78;40;461;;10,816;20;540
6,788;40;461;;10,825;20;520
6,799;40;471;;10,833;20;530
6,81;40;471;;10,844;20;540
6,82;40;461;;10,855;20;540
6,829;40;461;;10,865;20;540
6,84;40;471;;10,874;20;540
6,85;40;471;;10,885;20;549
6,859;40;471;;10,893;20;549
6,87;40;471;;10,906;20;549
6,88;40;471;;10,914;20;540
6,889;40;471;;10,923;20;549
6,899;40;471;;10,934;20;549
6,91;40;471;;10,944;20;540
6,919;40;471;;10,955;20;530
6,929;40;461;;10,964;20;520
6,94;40;471;;10,974;20;520
6,959;40;461;;10,983;20;520
6,97;40;471;;10,993;20;520
6,989;40;481;;11,004;20;520
7;40;481;;11,013;20;530
7,01;40;471;;11,025;20;540
7,019;40;471;;11,034;20;530
7,03;40;471;;11,045;20;530
7,04;40;471;;11,055;20;530
7,049;40;471;;11,066;20;540
7,059;40;471;;11,072;20;540
7,07;40;471;;11,085;20;540
7,079;40;461;;11,096;20;549
7,089;40;471;;11,113;20;540
7,1;40;471;;11,124;20;520
7,108;40;461;;11,134;20;520
7,119;40;461;;11,143;20;530
7,13;40;461;;11,153;20;530
7,138;40;461;;11,166;20;530
7,149;40;461;;11,175;20;530
7,16;40;451;;11,185;20;530
7,172;40;461;;11,196;20;530
7,183;40;471;;11,205;20;520
7,19;40;461;;11,213;20;520
7,198;40;461;;11,224;20;530
7,209;40;461;;11,234;20;540
7,219;40;461;;11,245;20;540
7,228;40;461;;11,256;20;530
7,239;40;461;;11,262;20;520
7,249;40;471;;11,275;20;520
7,258;40;461;;11,284;20;500
7,271;40;461;;11,292;20;500
7,279;40;471;;11,303;20;500
7,29;40;471;;11,313;20;510
7,301;40;471;;11,324;20;520
7,313;40;471;;11,333;20;520
7,324;40;461;;11,343;20;520
7,328;40;471;;11,356;10;530
7,339;40;471;;11,365;10;540
7,358;40;481;;11,375;10;540
7,369;40;471;;11,384;10;540
7,379;40;471;;11,392;10;549
7,388;40;481;;11,403;10;549
7,399;40;481;;11,414;10;540
7,409;40;471;;11,424;10;530
7,418;40;471;;11,433;10;530
7,428;40;481;;11,444;10;530
7,439;30;481;;11,454;10;520
7,45;30;481;;11,465;10;520
7,458;30;481;;11,473;10;530
7,469;30;481;;11,484;10;540
7,48;30;481;;11,495;10;540
7,497;30;490;;11,503;10;540
7,507;30;490;;11,512;10;549
7,518;30;481;;11,522;10;559
7,529;30;481;;11,535;10;569
7,539;30;481;;11,544;10;579
7,55;30;481;;11,554;10;589
7,559;30;490;;11,563;10;598
7,569;30;481;;11,574;10;608
7,58;30;471;;11,582;10;608
7,589;30;481;;11,595;10;618
7,599;30;471;;11,604;10;618
7,61;30;461;;11,614;10;628
7,618;30;471;;11,625;10;628
7,629;30;471;;11,633;10;638
7,64;30;471;;11,642;10;628
7,648;30;471;;11,655;10;638
7,661;30;481;;11,663;10;638
7,67;30;481;;11,674;10;638
7,68;30;481;;11,682;10;628
7,689;30;481;;11,695;10;628
7,697;30;481;;11,704;10;628
7,708;30;481;;11,712;10;628
7,719;30;481;;11,723;10;618
7,729;30;481;;11,734;10;618
7,74;30;481;;11,744;10;608
7,749;30;481;;11,753;10;608
7,759;30;481;;11,764;10;598
7,77;30;481;;11,774;10;598
7,778;30;481;;11,785;10;598
7,789;30;481;;11,802;10;608
7,798;30;481;;11,813;10;608
7,81;30;471;;11,823;10;598
7,827;30;481;;11,832;10;608
7,838;30;471;;11,845;10;598
7,849;30;481;;11,855;10;598
7,857;30;481;;11,864;10;608
7,868;30;481;;11,872;10;598
7,879;30;481;;11,885;10;598
7,889;30;471;;11,892;10;608
7,9;30;481;;11,902;10;598
7,911;30;481;;11,915;10;598
7,919;30;471;;11,921;10;589
7,928;30;471;;11,932;10;589
7,938;30;490;;11,945;10;589
7,949;30;490;;11,953;10;579
7,966;30;490;;11,964;10;579
7,977;30;481;;11,973;10;569
7,99;30;490;;11,983;10;579
7,998;30;481;;11,992;10;579
8,009;30;481;;12,005;10;579
8,019;30;490;;12,013;10;579
8,03;30;500;;12,024;10;589
8,039;30;500;;12,032;10;589
8,049;30;500;;12,043;10;589
8,058;30;500;;12,054;10;579
8,069;30;500;;12,062;10;579
8,079;30;490;;12,073;10;579
8,09;30;481;;12,084;10;589
8,107;30;490;;12,094;10;589
8,118;30;481;;12,103;10;579
8,128;30;490;;12,113;10;579
8,139;30;490;;12,124;10;589
8,147;30;481;;12,135;10;589
8,16;30;490;;12,143;10;579
8,167;30;490;;12,152;10;579
8,177;30;481;;12,165;10;579
8,19;30;490;;12,173;10;579
8,199;30;490;;12,182;10;569
8,216;30;490;;12,192;10;569
8,226;30;481;;12,203;10;559
8,237;30;481;;12,212;10;559
8,25;30;471;;12,224;10;559
8,256;30;481;;12,233;10;549
8,269;30;481;;12,244;10;549
8,278;30;471;;12,254;10;549
8,288;30;481;;12,263;10;549
8,297;30;490;;12,273;10;549
8,307;30;490;;12,282;10;530
8,318;30;490;;12,293;10;530
8,329;30;490;;12,303;10;530
8,337;30;490;;12,314;10;530
8,348;30;481;;12,322;10;520
8,357;30;481;;12,331;10;530
8,367;30;490;;12,342;10;540
8,38;30;490;;12,352;10;549
8,389;30;490;;12,363;10;549
8,397;30;490;;12,374;10;540
8,41;30;490;;12,382;10;540
8,416;30;490;;12,393;10;540
8,427;30;490;;12,404;10;549
8,438;30;481;;12,412;10;549
8,448;30;481;;12,423;10;549
8,459;30;490;;12,431;10;559
